title,description,days_until_deadline,assignee_active_tasks,assignee_overdue_rate,assignee_avg_completion_delay,project_type,priority
Client escalation regarding Search,Client escalation regarding Search. This issue is affecting multiple stakeholders and requires immediate attention.,22,0,0.4,2.4,Fintech,HIGH
Update dependency versions,Update dependency versions. This is a minor improvement with low business impact.,51,3,0.09,0.3,Healthcare,LOW
System crash during Checkout,System crash during Checkout. This issue is affecting multiple stakeholders and requires immediate attention.,24,7,0.5,1.9,Healthcare,HIGH
Audit failure in Operations,Audit failure in Operations. This issue is affecting multiple stakeholders and requires immediate attention.,15,3,0.58,6.0,SaaS,HIGH
Enhance UI for Search,Enhance UI for Search. Important for improving overall system quality.,17,9,0.42,0.9,SaaS,MEDIUM
Refactor codebase in Data Pipeline,Refactor codebase in Data Pipeline. This task will improve operational efficiency.,14,6,0.4,3.9,SaaS,MEDIUM
Automate campaign tracking for Q4 Launch,Automate campaign tracking for Q4 Launch. This task will improve operational efficiency.,-1,11,0.39,3.9,Healthcare,MEDIUM
Critical issue in Data Pipeline,Critical issue in Data Pipeline. Failure to resolve may result in financial or reputational damage.,-1,0,0.76,2.1,Fintech,HIGH
Organize file structure,Organize file structure. No immediate operational risk involved.,30,0,0.0,0.1,Fintech,LOW
Improve onboarding process for Employee Onboarding,Improve onboarding process for Employee Onboarding. Important for improving overall system quality.,18,0,0.34,1.5,EdTech,MEDIUM
Update dependency versions,Update dependency versions. No immediate operational risk involved.,38,0,0.04,1.1,Fintech,LOW
Implement new feature for Profile,Implement new feature for Profile. This enhancement supports ongoing optimization efforts.,11,0,0.08,0.7,EdTech,MEDIUM
Security breach detected in Database,Security breach detected in Database. This issue is affecting multiple stakeholders and requires immediate attention.,4,9,0.72,7.6,Fintech,HIGH
Critical issue in Frontend App,Critical issue in Frontend App. Failure to resolve may result in financial or reputational damage.,2,17,0.4,2.1,EdTech,HIGH
Implement new feature for Checkout,Implement new feature for Checkout. This enhancement supports ongoing optimization efforts.,16,9,0.04,3.6,SaaS,MEDIUM
Refactor codebase in Frontend App,Refactor codebase in Frontend App. This task will improve operational efficiency.,9,3,0.34,1.1,Healthcare,MEDIUM
System crash during Dashboard,System crash during Dashboard. Failure to resolve may result in financial or reputational damage.,16,11,0.64,6.7,AI Platform,HIGH
Cleanup unused resources,Cleanup unused resources. No immediate operational risk involved.,84,4,0.15,0.7,E-commerce,LOW
Refactor codebase in Data Pipeline,Refactor codebase in Data Pipeline. This enhancement supports ongoing optimization efforts.,30,4,0.32,2.7,AI Platform,MEDIUM
Security breach detected in Payment Gateway,Security breach detected in Payment Gateway. This issue is affecting multiple stakeholders and requires immediate attention.,7,17,0.34,8.8,E-commerce,HIGH
Upgrade billing process in Budget Planning,Upgrade billing process in Budget Planning. Important for improving overall system quality.,-1,3,0.23,2.4,AI Platform,MEDIUM
Implement new feature for Checkout,Implement new feature for Checkout. This enhancement supports ongoing optimization efforts.,11,3,0.04,1.7,Healthcare,MEDIUM
Implement new feature for Login,Implement new feature for Login. Important for improving overall system quality.,19,6,0.09,3.7,Fintech,MEDIUM
Improve analytics reporting for Search,Improve analytics reporting for Search. This task will improve operational efficiency.,-1,13,0.03,0.2,EdTech,MEDIUM
System crash during Login,System crash during Login. This task is blocking critical business operations.,0,9,0.69,9.0,Fintech,HIGH
Production outage affecting Billing Service,Production outage affecting Billing Service. This task is blocking critical business operations.,9,10,0.46,9.6,EdTech,HIGH
Improve analytics reporting for Profile,Improve analytics reporting for Profile. This task will improve operational efficiency.,27,3,0.12,1.3,EdTech,MEDIUM
Production outage affecting Inventory Service,Production outage affecting Inventory Service. Failure to resolve may result in financial or reputational damage.,5,3,0.74,9.0,Healthcare,HIGH
Refactor codebase in Mobile App,Refactor codebase in Mobile App. This enhancement supports ongoing optimization efforts.,18,6,0.01,3.0,AI Platform,MEDIUM
Improve formatting in Backend API,Improve formatting in Backend API. No immediate operational risk involved.,49,2,0.06,0.1,AI Platform,LOW
Refactor codebase in Data Pipeline,Refactor codebase in Data Pipeline. This task will improve operational efficiency.,27,7,0.08,0.8,AI Platform,MEDIUM
Enhance UI for Dashboard,Enhance UI for Dashboard. This task will improve operational efficiency.,-1,3,0.18,3.0,Fintech,MEDIUM
Audit failure in Marketing,Audit failure in Marketing. This issue is affecting multiple stakeholders and requires immediate attention.,3,9,0.46,2.3,EdTech,HIGH
Enhance internal documentation,Enhance internal documentation. No immediate operational risk involved.,55,3,0.2,1.5,Healthcare,LOW
Audit failure in Finance,Audit failure in Finance. This issue is affecting multiple stakeholders and requires immediate attention.,5,7,0.53,5.9,EdTech,HIGH
Integrate new API into Notification Service,Integrate new API into Notification Service. This enhancement supports ongoing optimization efforts.,15,0,0.18,0.0,Healthcare,MEDIUM
Revenue-impacting defect in Dashboard,Revenue-impacting defect in Dashboard. Failure to resolve may result in financial or reputational damage.,7,0,0.87,4.0,SaaS,HIGH
System crash during Checkout,System crash during Checkout. Failure to resolve may result in financial or reputational damage.,26,0,0.49,7.7,SaaS,HIGH
Payment failure reported by Startup Client,Payment failure reported by Startup Client. This task is blocking critical business operations.,15,9,0.65,4.4,EdTech,HIGH
Refactor variable naming in Backend API,Refactor variable naming in Backend API. This is a minor improvement with low business impact.,19,0,0.08,0.8,Healthcare,LOW
Immediate rollback required for Auth Service,Immediate rollback required for Auth Service. This issue is affecting multiple stakeholders and requires immediate attention.,18,13,0.84,5.5,SaaS,HIGH
Optimize workflow in Operations,Optimize workflow in Operations. Important for improving overall system quality.,13,0,0.24,0.1,Healthcare,MEDIUM
Compliance violation in Sales,Compliance violation in Sales. Failure to resolve may result in financial or reputational damage.,13,8,0.34,2.6,EdTech,HIGH
Security breach detected in Backend API,Security breach detected in Backend API. This issue is affecting multiple stakeholders and requires immediate attention.,3,0,0.83,9.3,Healthcare,HIGH
Automate campaign tracking for Q4 Launch,Automate campaign tracking for Q4 Launch. This task will improve operational efficiency.,9,0,0.3,3.8,AI Platform,MEDIUM
Client escalation regarding Settings,Client escalation regarding Settings. Failure to resolve may result in financial or reputational damage.,8,0,0.66,8.1,E-commerce,HIGH
System crash during Profile,System crash during Profile. Failure to resolve may result in financial or reputational damage.,13,10,0.2,9.9,AI Platform,HIGH
Immediate rollback required for Payment Gateway,Immediate rollback required for Payment Gateway. Failure to resolve may result in financial or reputational damage.,24,6,0.87,7.9,EdTech,HIGH
Implement new feature for Checkout,Implement new feature for Checkout. Important for improving overall system quality.,-1,0,0.31,2.3,E-commerce,MEDIUM
Enhance internal documentation,Enhance internal documentation. Can be addressed during routine maintenance.,50,0,0.15,1.0,Healthcare,LOW
Upgrade billing process in Budget Planning,Upgrade billing process in Budget Planning. Important for improving overall system quality.,30,6,0.47,0.1,Fintech,MEDIUM
Refactor variable naming in Database,Refactor variable naming in Database. No immediate operational risk involved.,13,6,0.09,0.2,SaaS,LOW
Cleanup unused resources,Cleanup unused resources. Can be addressed during routine maintenance.,25,2,0.01,1.1,AI Platform,LOW
Refactor codebase in Frontend App,Refactor codebase in Frontend App. Important for improving overall system quality.,20,5,0.27,0.3,Healthcare,MEDIUM
Integrate new API into Notification Service,Integrate new API into Notification Service. This task will improve operational efficiency.,-1,0,0.02,0.2,E-commerce,MEDIUM
Audit failure in Finance,Audit failure in Finance. Failure to resolve may result in financial or reputational damage.,9,8,0.47,6.9,E-commerce,HIGH
Production outage affecting Reporting Service,Production outage affecting Reporting Service. Failure to resolve may result in financial or reputational damage.,7,12,0.52,6.2,Fintech,HIGH
Optimize workflow in Sales,Optimize workflow in Sales. Important for improving overall system quality.,-1,0,0.36,1.3,E-commerce,MEDIUM
Improve analytics reporting for Analytics,Improve analytics reporting for Analytics. This enhancement supports ongoing optimization efforts.,-1,11,0.32,1.7,AI Platform,MEDIUM
Revenue-impacting defect in Search,Revenue-impacting defect in Search. This issue is affecting multiple stakeholders and requires immediate attention.,12,10,0.38,5.9,E-commerce,HIGH
Cleanup unused resources,Cleanup unused resources. Can be addressed during routine maintenance.,24,2,0.11,1.5,EdTech,LOW
Automate campaign tracking for Q4 Launch,Automate campaign tracking for Q4 Launch. This enhancement supports ongoing optimization efforts.,8,5,0.0,1.5,Healthcare,MEDIUM
Security breach detected in Backend API,Security breach detected in Backend API. Failure to resolve may result in financial or reputational damage.,26,13,0.53,7.9,E-commerce,HIGH
Fix minor typo in documentation,Fix minor typo in documentation. This is a minor improvement with low business impact.,37,2,0.09,1.7,AI Platform,LOW
Revenue-impacting defect in Login,Revenue-impacting defect in Login. This issue is affecting multiple stakeholders and requires immediate attention.,17,6,0.88,9.5,EdTech,HIGH
Client escalation regarding Login,Client escalation regarding Login. This issue is affecting multiple stakeholders and requires immediate attention.,-1,9,0.44,6.3,EdTech,HIGH
Cleanup unused resources,Cleanup unused resources. This is a minor improvement with low business impact.,52,3,0.2,0.6,EdTech,LOW
Upgrade billing process in Invoice Processing,Upgrade billing process in Invoice Processing. This task will improve operational efficiency.,25,6,0.3,2.4,Healthcare,MEDIUM
Optimize workflow in Marketing,Optimize workflow in Marketing. Important for improving overall system quality.,30,2,0.45,0.0,SaaS,MEDIUM
Revenue-impacting defect in Search,Revenue-impacting defect in Search. This issue is affecting multiple stakeholders and requires immediate attention.,1,0,0.39,4.8,Fintech,HIGH
Improve analytics reporting for Dashboard,Improve analytics reporting for Dashboard. Important for improving overall system quality.,16,0,0.34,2.7,AI Platform,MEDIUM
Improve comments in codebase,Improve comments in codebase. Can be addressed during routine maintenance.,21,3,0.08,0.5,EdTech,LOW
Optimize workflow in Support,Optimize workflow in Support. This task will improve operational efficiency.,6,0,0.45,0.7,SaaS,MEDIUM
Cleanup unused resources,Cleanup unused resources. No immediate operational risk involved.,42,5,0.02,0.1,AI Platform,LOW
Automate campaign tracking for Q4 Launch,Automate campaign tracking for Q4 Launch. This task will improve operational efficiency.,27,5,0.16,2.4,EdTech,MEDIUM
Update dependency versions,Update dependency versions. Can be addressed during routine maintenance.,42,8,0.07,1.0,Healthcare,LOW
